#,Name,Symbol,On Exchange,% Supply On Exchange,1D Change,1D Change %,7D Change,7D Change %,30D Change,30D Change %
119,Band Protocol,BAND,6665708.0,6.67,3608.6,0.05,72886.8,1.11,1395580.36,26.48
120,Tellor,TRB,1371430.0,52.82,28617.5,2.13,89245.07,6.96,125367.29,10.06
121,MX Token,MX,93336579.0,21.77,-2132.55,0.0,8459.91,0.01,-16027.83,-0.02
122,TerraClassicUSD,USTC,143332026.0,1.47,89891.73,0.06,-272310.04,-0.19,-13963862.04,-8.88
123,Audius,AUDIO,153551926.0,12.43,1198512.73,0.79,3068415.2,2.04,1006196.87,0.66
124,Ribbon Finance,RBN,4185692.0,0.42,-380624.29,-8.34,-109550.14,-2.55,329872.66,8.56
125,Memecoin,MEME,5761940988.0,8.35,8631038.46,0.15,13454090.3,0.23,-30379301.68,-0.52
126,Biconomy,BICO,89081504.0,8.91,11517236.44,14.85,12584202.27,16.45,13831623.45,18.38
127,iExec RLC,RLC,25846800.0,29.71,-107175.56,-0.41,-452508.2,-1.72,-374789.08,-1.43
128,Balancer,BAL,4182692.0,6.76,361436.0,9.46,299780.78,7.72,539732.91,14.82
129,Raydium,RAY,158.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Cartesi,CTSI,141097135.0,14.11,4167328.26,3.04,5680970.11,4.2,6778808.36,5.05
131,Baby Doge Coin,BABYDOGE,3.239513930459244e+16,7.71,-8998588363617.0,-0.03,67173732051495.0,0.21,47257507024540.0,0.15
132,Coin98,C98,224333595.0,22.43,1679144.41,0.75,1238489.4,0.56,-2452658.5,-1.08
133,Ontology,ONT,2902086.0,0.29,5557.83,0.19,67675.79,2.39,173793.25,6.37
134,Tokocrypto,TKO,144076966.0,28.98,245215.66,0.17,312185.98,0.22,689563.39,0.48
135,Open Campus,EDU,93507372.0,9.35,-294051.24,-0.31,-36770.89,-0.04,2841358.9,3.13
136,Fusionist,ACE,9126061.0,6.21,-12125.29,-0.13,-212559.84,-2.28,-616652.51,-6.33
137,WAX Token,WAXP,32801530.0,0.79,168338.02,0.52,-214539.83,-0.65,-52773.64,-0.16
138,Tribe,TRIBE,10348386.0,1.03,-10338.4,-0.1,-63465.35,-0.61,-657548.87,-5.97
139,Pax Dollar,USDP,29800357.0,13.84,-1178160.25,-3.8,-60556.6,-0.2,560030.12,1.92
140,Solar,SXP,45223460.0,15.85,-3.806e-05,0.0,963.37,0.0,1865.11,0.0
141,Sleepless AI,AI,117087950.0,11.71,155077.88,0.13,-108056271.0,-47.99,-88814197.51,-43.13
142,Arkham,ARKM,106453727.0,10.65,-806326.06,-0.75,-3985031.89,-3.61,-8421875.99,-7.33
143,COTI,COTI,519351307.0,25.97,-26112507.13,-4.79,-35926107.88,-6.47,-44230155.72,-7.85
144,Prom,PROM,2409370.0,12.05,39895.97,1.68,-3129398.88,-56.5,-2993120.2,-55.4
145,Amp,AMP,5207550169.0,5.24,-80592399.32,-1.52,-41220190.16,-0.79,-49201698.57,-0.94
146,LCX token,LCX,14173074.0,1.49,-353708.32,-2.43,-297353.85,-2.05,-920439.11,-6.1
147,Venus,XVS,4528235.0,15.09,3747.69,0.08,-99504.39,-2.15,-75370.19,-1.64
148,Celer Network,CELR,2140143232.0,21.4,1446107.38,0.07,8330561.75,0.39,-248087567.0,-10.39
149,Numeraire,NMR,1015566.0,9.45,-35564.64,-3.38,38821.73,3.97,155971.06,18.14
150,Power Ledger,POWR,82241354.0,8.22,3181664.72,4.02,-3072608.11,-3.6,-5582346.79,-6.36
151,Alchemy Pay,ACH,2388389431.0,23.88,6331854.65,0.27,-5675594.79,-0.24,2998423.71,0.13
152,ArcBlock,ABT,11927603.0,6.41,609638.85,5.39,-942568.95,-7.32,-3183937.93,-21.07
153,Creditcoin,CTC,27102805.0,4.93,-229762.17,-0.84,-269746.07,-0.99,-1946303.74,-6.7
154,Wrapped NXM,wNXM,228274.0,19.7,-2808.46,-1.22,-5800.71,-2.48,-24017.13,-9.52
155,Vulcan Forged,PYR,12098568.0,24.2,64277.14,0.53,260746.48,2.2,81469.94,0.68
156,Big Time,BIGTIME,246809072.0,4.94,2057789.98,0.84,9490171.12,4.0,56189431.69,29.48
157,Orbs,ORBS,242443063.0,2.42,16293233.39,7.2,37647664.29,18.38,77598109.76,47.07
158,Bounce Token,AUCTION,2264651.0,34.84,-64911.18,-2.79,-143320.12,-5.95,-515000.37,-18.53
159,Status,SNT,674116178.0,9.91,-6602130.27,-0.97,11859961.8,1.79,33690699.97,5.26
160,NFPrompt,NFP,168515584.0,16.85,1006867.45,0.6,7615815.05,4.73,14451507.86,9.38
161,MANTRA,OM,223461402.0,25.14,1916481.16,0.87,6022794.56,2.77,-2603593.08,-1.15
162,Marlin,POND,1183839756.0,14.64,2677863.54,0.23,10019546.4,0.85,-132039483.0,-10.03
163,CyberConnect,CYBER,8014323.0,8.01,6252.59,0.08,-27299.4,-0.34,-204947.98,-2.49
164,Maverick Protocol,MAV,134492788.0,6.72,-208699.19,-0.15,-30753969.88,-18.61,-36956157.69,-21.56
165,Yield Guild Games,YGG,180659786.0,18.07,3755305.18,2.12,752533.13,0.42,7397631.24,4.27
166,Small Love Potion,SLP,4122305803.0,32.98,-1210568.0,-0.03,55319634.0,1.36,370301341.0,9.87
167,Reserve Rights,RSR,19057176412.0,19.06,98581117.61,0.52,378144102.0,2.02,489530171.0,2.64
168,Bluzelle,BLZ,222707764.0,44.54,-279484.31,-0.13,-240487.01,-0.11,-20225726.37,-8.33
169,ConstitutionDAO,PEOPLE,4190392050.0,82.69,-1609871.66,-0.04,808469.4,0.02,-27556490.53,-0.65
170,Artificial Liquid Intelligence,ALI,259723069.0,2.6,10575876.93,4.24,3348874.43,1.31,12028598.39,4.86
171,Stratis,STRAX,168285.0,0.11,0.0,0.0,75.4678,0.04,75.4678,0.04
172,Liquity,LQTY,22493829.0,22.49,-164028.43,-0.72,517848.39,2.36,-1670877.98,-6.91
173,Dexe.network,DEXE,5547696.0,5.75,4484.43,0.08,9924.68,0.18,34272.66,0.62
174,NYM,NYM,53172863.0,5.32,-17143.57,-0.03,2080813.71,4.07,1611091.81,3.12
175,Dent,DENT,51093422000.0,51.09,-54274803.36,-0.11,153229418.0,0.3,826829755.0,1.64
176,Hashflow,HFT,168261314.0,16.83,-166127.86,-0.1,5782124.88,3.56,12001423.0,7.68
177,Hooked Protocol,HOOK,69956013.0,13.99,-82750.65,-0.12,130540.49,0.19,4701767.4,7.21
178,Telos,TLOS,8270495.0,1.97,-49193.64,-0.59,322544.25,4.06,73944.81,0.9
179,Keep Network,KEEP,3487254.0,0.35,-21845.8,-0.62,-43539.91,-1.23,-141520.57,-3.9
180,Bone ShibaSwap,BONE,34938948.0,13.98,-120277.08,-0.34,3844957.16,12.37,-742455.79,-2.08
181,Loom Network,LOOM,183042398.0,14.08,14495783.44,8.6,-13870704.66,-7.04,34829293.68,23.5
182,Stargate Finance,STG,56530052.0,5.65,-762655.07,-1.33,4011528.3,7.64,3616659.53,6.84
183,Perpetual Protocol,PERP,43105496.0,28.74,-29411.27,-0.07,900896.85,2.13,1467682.16,3.52
184,Stella,ALPHA,251267231.0,25.13,1769668.86,0.71,5331546.15,2.17,19646725.17,8.48
185,Synapse,SYN,29079961.0,13.7,134327.48,0.46,1634050.4,5.95,-1826157.57,-5.91
186,Kyber Network Crystal,KNC,54110927.0,23.47,789639.96,1.48,4839975.16,9.82,14327446.18,36.01
187,DODO Token,DODO,270024475.0,27.0,2759498.81,1.03,2979687.88,1.12,9914803.25,3.81
188,BakeryToken,BAKE,272682705.0,94.1,-780292.96,-0.29,1677630.89,0.62,693623.8,0.26
189,Orchid,OXT,185479671.0,18.55,1194543.01,0.65,-3780707.02,-2.0,1647332.0,0.9
190,Dusk,DUSK,71800677.0,14.36,74573.24,0.1,1074941.71,1.52,-21402017.4,-22.96
191,Pundi X [new],PUNDIX,39658149.0,15.35,56142.15,0.14,738293.66,1.9,934954.92,2.41
192,Aurora,AURORA,17141188.0,1.71,215364.21,1.27,990971.49,6.14,964103.15,5.96
193,STP Network,STPT,435185354.0,22.4,6220957.72,1.45,-2816544.75,-0.64,47727479.05,12.32
194,Civic,CVC,116516402.0,11.65,1720119.36,1.5,-1465156.91,-1.24,10026769.15,9.42
195,Shentu,CTK,4463642.0,3.4,10628.85,0.24,-21752.03,-0.48,-402737.89,-8.28
196,Adventure Gold,AGLD,52553144.0,67.99,205200.3,0.39,1708564.27,3.36,3000639.65,6.06
197,RSS3,RSS3,96919850.0,9.69,-708918.44,-0.73,-1101365.63,-1.12,-2401816.53,-2.42
198,Request Network,REQ,174703846.0,17.48,1705032.16,0.99,-2040248.56,-1.15,3214834.6,1.87
199,Vanar,VANRY,1748277189.0,125.98,-123099.06,-0.01,-6689423.79,-0.38,-80508592.31,-4.4
200,Metal DAO,MTL,14691646.0,22.06,219166.11,1.51,1344426.18,10.07,3285572.1,28.81
201,Bancor,BNT,24693581.0,15.32,605824.97,2.52,-1963923.4,-7.37,-779994.16,-3.06
202,BinaryX (new),BNX,247282317.0,45.15,808971.21,0.33,4816443.84,1.99,2633396.86,1.08
203,OMG Network,OMG,63576629.0,45.33,83868.44,0.13,619038.72,0.98,5774831.27,9.99
204,Radicle,RAD,10686016.0,10.69,81386.95,0.77,169407.53,1.61,873764.86,8.9
205,Gitcoin,GTC,19121960.0,19.12,-142940.92,-0.74,508769.31,2.73,184023.74,0.97
206,My Neighbor Alice,ALICE,32369993.0,35.18,-59548.19,-0.18,-352645.46,-1.08,-310584.5,-0.95
207,Origin Token,OGN,288545100.0,28.85,1598609.8,0.56,-4500123.46,-1.54,23982761.84,9.07
208,NKN,NKN,215557805.0,28.56,1055354.15,0.49,2359551.53,1.11,4749411.28,2.25
